id	path		rHearts	rCont	sHearts	damage	range	shotSpd	fireSpd	shotSz	speed	size	special
0	arrow		0	    0	    0	    0	    0	    0	    0   	0       0	    0   	1
1	belt		0	    0	    0	    0	    0	    0   	0   	0       0.2	    0   	0
2	compass		0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    1
3	crown		0	    0	    0	    0.5	    0	    0	    0	    0.1	    0	    0	    0
4	dessert		2	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0
5	dinner		2	    0	    0	    0	    0	    0	    0	    0	    0   	0	    0
6	eye		    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    1
7	hanger		0	    0	    0	    0	    0   	0   	1   	0	    0	    0	    0
8	heart		2	    0	    0	    0	    0   	0   	0	    0   	0   	0   	1
9	heels		0	    0	    0	    0	    0.5   	0	    0   	0	    0	    0	    0
10	homing 		0	    0	    0	    0	    0	    0   	0	    0	    0	    0	    1
11	hormones 	0	    0	    0	    0.5	    0	    0	    0	    0.1   	0.5   	0	    0
12	liver		2	    2	    3	    0	    0	    0       0   	0   	0	    0	    0
13	lunch		2	    0	    0	    0	    0	    0	    0	    0   	0	    0	    0
14	map		    0   	0	    0	    0	    0   	0   	0   	0   	0	    0   	1
15	milk		2	    0	    0	    0	    0   	0	    0	    0	    0	    0   	0
16	mushroom	2	    0	    0	    1.5   	0.5	    0	    0	    0.3	    0	    10	    0
17	one		    0   	0	    0	    0	    -0.5    0	    2	    0	    0	    0	    0
18	onion		0	    0	    0	    0	    0	    0.2	    0.5	    0	    0	    0	    0
19	pants		0	    0	    0	    0	    0.5	    0	    0	    0	    0	    0   	0
20	pentagram	0	    0	    0	    0	    0	    0	    0   	0	    0	    0	    0
21	rock		0	    0	    0	    0.8	    0	    0   	0   	0.2	    -0.2  	0   	0
22	roidrage	0	    0	    0	    0	    0.5   	0   	0   	0   	0.5	    0	    0
23	rosary		0	    0	    6	    0	    0       0.2	    0   	0   	0   	0   	0
24	rotten		2	    0	    0	    0	    0	    0   	0   	0   	0	    0	    0
25	spoon		0	    0	    0	    0	    0   	0   	0   	0   	0.3	    0	    0
26	steven		0	    0	    0	    0.5	    0   	0	    0	    0.1	    0	    0	    0
27	triple		0	    0	    0	    0	    0	    0   	-1   	0	    0	    0	    1
28	vampire		0	    0	    0	    0	    0	    0	    0	    0   	0	    0   	1
29	virus		0	    0	    0	    0       0.2	    0   	0   	0	    0	    0	    1
